cpf,nome_completo,profissao,trabalha_com_carteira_assinada,idade,localizacao,renda_mensal,estado_civil,numero_de_dependentes,score_de_credito,inadimplencia_anterior,valor_total_do_credito_em_aberto,tipo_de_credito_utilizado_anteriormente,valor_da_compra_a_credito,numero_de_parcelas,taxa_de_juros_mensal_(%),taxa_de_juros_anual_(%),percentual_de_entrada_(%),valor_da_entrada,compra_com_entrada,tipo_de_produto_ou_servico_adquirido,data_da_compra,data_de_entrega,data_da_ultima_compra,data_da_proxima_parcela,numero_de_compras_a_credito_anteriores,montante_total_ja_financiado,percentual_de_comprometimento_de_renda_(%),status_do_pagamento_atual,canal_de_aquisicao,comentarios_e_historico_de_interacoes,status_pgto_ordem,risco_pagamento,score_ajustado
701.269.835-77,Gustavo Pires,Berçarista,1,39,Ribeiro Grande,8952,Solteiro,3,558,0,41027.14,Imobiliário,15025.14,12,1.44,35.49,30,2921.41,True,Eletrodomésticos,2024-09-23,2024-11-25,2022-07-28,2025-01-01,17,85341.45,33.25,Em dia,Presencial,Dicta numquam quas alias nemo inventore excepturi modi optio.,1,0,558.0
179.648.523-37,Pedro Lucas Moreira,Ufólogo,1,21,da Mata de Sales,19287,Viúvo,4,336,1,22228.34,Parcelamento em Loja,48197.18,36,0.81,11.63,40,2586.29,True,Eletrônicos,2022-02-15,2024-11-14,2023-02-24,2024-11-13,6,89811.21,18.79,Renegociado,Telefone,Officiis pariatur error maxime corrupti quos debitis at ad nam hic.,2,0,168.0
824.763.190-31,Antônio da Paz,Engenheiro mecatrônico,0,35,Costela do Oeste,10648,Casado,4,816,0,36067.45,Pessoal,20004.79,48,2.0,23.52,20,9852.21,False,Eletrodomésticos,2024-04-07,2024-12-04,2021-04-20,2024-11-24,3,63808.23,34.96,Renegociado,Telefone,Consequuntur excepturi ab pariatur voluptatem corrupti enim consectetur saepe nihil praesentium facilis.,2,1,816.0
465.398.072-10,Gustavo Henrique da Luz,Cirurgião dentista,0,29,Silveira,11912,Casado,0,553,1,39076.75,Imobiliário,22636.72,12,1.92,27.42,30,3328.54,False,Eletrônicos,2022-12-17,2024-11-11,2021-12-20,2024-12-22,13,76170.51,44.49,Renegociado,Online,Quam saepe architecto quia omnis rem dolor pariatur nisi consectetur.,2,0,276.5
150.469.872-01,Francisco da Luz,Deputado,0,46,Almeida,4644,Divorciado,3,396,0,43002.91,Parcelamento em Loja,43259.54,48,2.51,24.8,20,9174.77,False,Móveis,2023-03-15,2024-11-19,2021-07-09,2024-11-26,1,58544.31,30.58,Renegociado,Telefone,Libero accusantium atque voluptas blanditiis eius incidunt facere eveniet facilis esse unde distinctio.,2,0,396.0
031.926.785-77,Sr. Davi da Paz,Marcador de luz,1,56,Campos do Amparo,18966,Solteiro,3,449,0,44351.28,Imobiliário,32023.98,24,1.31,34.75,20,6010.0,True,Eletrônicos,2023-10-06,2024-11-14,2023-05-11,2024-11-18,10,29315.81,14.69,Renegociado,Presencial,Ea asperiores quia culpa consequuntur laboriosam.,2,0,449.0
382.546.901-89,Davi Ferreira,Promotor de eventos,1,57,da Luz,18885,Solteiro,4,695,0,11329.3,Veículo,4854.1,36,2.59,26.22,0,8823.26,True,Ferramentas,2023-05-15,2024-11-22,2024-11-03,2024-12-14,19,50668.33,26.36,Em dia,Presencial,In facere cum doloremque libero animi.,1,1,695.0
631.058.274-71,Anthony Cunha,Bancário,1,45,Peixoto,11611,Solteiro,2,667,1,7866.26,Veículo,35769.69,6,0.86,32.47,40,5883.99,False,Eletrônicos,2023-11-21,2024-12-01,2023-03-26,2024-12-06,16,16658.76,28.89,Em dia,Presencial,Nulla ipsam quam assumenda incidunt nihil impedit consectetur similique minus veniam autem eum.,1,0,333.5
701.832.654-08,Milena Correia,Estatístico,1,51,Nascimento Verde,11208,Viúvo,4,481,1,31653.56,Veículo,8833.21,6,2.24,10.71,10,1483.36,False,Eletrônicos,2023-06-03,2024-12-01,2024-08-26,2024-11-26,17,98741.93,21.05,Renegociado,Online,Repudiandae placeat odit dolore quae eligendi dolorum commodi.,2,0,240.5
387.196.240-69,Sr. Henrique Ramos,Economista,1,63,Monteiro,13658,Divorciado,0,598,0,12069.48,Imobiliário,1195.35,48,0.94,28.75,40,3079.51,True,Eletrodomésticos,2023-12-21,2024-11-20,2024-03-22,2024-11-08,15,73938.46,23.21,Em dia,Telefone,Facilis temporibus vero natus quisquam iste incidunt ratione numquam fuga nihil quod expedita.,1,1,598.0
179.054.632-06,João Lucas Moura,Analista de sistemas,1,66,Souza de da Mata,10991,Viúvo,3,688,0,27844.11,Parcelamento em Loja,20235.1,36,1.32,15.14,40,9072.87,False,Eletrodomésticos,2023-02-14,2024-11-14,2021-11-24,2024-12-14,1,65806.08,46.24,Renegociado,Online,Incidunt cupiditate doloribus laboriosam autem saepe dolorum ipsa beatae.,2,0,688.0
267.318.045-17,Bárbara Souza,Nadador,1,35,Dias da Mata,13954,Divorciado,2,624,1,21662.64,Pessoal,17897.42,48,2.58,6.66,10,798.26,True,Eletrônicos,2023-12-04,2024-11-27,2021-03-12,2024-11-08,17,74922.93,23.33,Em dia,Online,Animi blanditiis quos commodi dignissimos rem qui impedit dolorem ipsum eius velit laborum.,1,0,312.0
064.832.571-71,Larissa Campos,Guincheiro,1,47,Rodrigues de Novaes,13171,Casado,3,679,0,49507.51,Imobiliário,24260.75,48,2.62,11.82,20,8629.91,True,Eletrônicos,2023-03-06,2024-12-03,2022-04-07,2024-11-12,17,73060.37,32.18,Renegociado,Telefone,Maiores molestias maxime repellat pariatur ipsum corporis adipisci quam voluptate provident.,2,0,679.0
234.107.596-70,Danilo Costela,Engenheiro de controle e automação,1,35,Viana do Amparo,4828,Casado,0,439,0,8254.44,Imobiliário,9826.91,6,0.98,7.37,30,6047.96,True,Móveis,2024-03-02,2024-11-30,2021-07-24,2024-11-13,16,63649.52,28.76,Em dia,Online,Assumenda magni illum aut amet quae ex voluptas repellat enim voluptas.,1,0,439.0
097.461.823-31,Diogo Teixeira,Tecnólogo em navegação fluvial,1,56,Castro de Goiás,16347,Solteiro,2,389,1,45071.22,Veículo,29678.67,36,2.44,11.08,0,1988.0,True,Móveis,2022-08-27,2024-11-13,2021-08-19,2025-01-03,6,66842.5,20.73,Renegociado,Telefone,Laudantium dicta id beatae deserunt accusantium ipsa expedita similique.,2,0,194.5
218.573.094-05,Olivia Moura,Síndico,0,28,Gomes,4599,Casado,4,569,0,28015.36,Veículo,26400.63,6,1.52,19.87,10,4996.63,False,Eletrodomésticos,2022-10-25,2024-11-10,2023-08-09,2024-12-24,12,96681.38,19.17,Atrasado,Presencial,Ipsum provident nisi libero dignissimos natus ex voluptatum rem quod.,3,0,569.0
901.354.278-60,Dr. Pedro Miguel Farias,Jogador de handebol,0,55,Porto Alegre,3840,Solteiro,2,572,0,29782.05,Veículo,28103.39,24,1.03,29.43,20,1100.65,False,Eletrônicos,2024-05-05,2024-11-19,2024-10-01,2024-12-23,3,5298.3,43.75,Em dia,Presencial,Illo reprehenderit ullam ipsa ducimus ipsa hic reprehenderit aspernatur nesciunt minima rerum praesentium.,1,1,572.0
534.812.690-05,Vitor Hugo da Mota,Luthier,0,67,Pereira,4101,Divorciado,2,316,0,31655.73,Parcelamento em Loja,33271.81,48,1.49,31.88,40,3932.49,False,Eletrônicos,2022-07-27,2024-11-16,2023-04-07,2024-12-06,3,89407.77,11.27,Em dia,Telefone,Accusantium animi eaque impedit aut vitae occaecati ad architecto blanditiis ipsum laborum.,1,0,316.0
071.948.265-85,Evelyn da Costa,Laboratorista,1,19,da Luz,17290,Solteiro,4,650,1,24784.7,Parcelamento em Loja,39574.82,6,2.56,7.91,20,6453.88,False,Móveis,2022-01-10,2024-11-14,2023-10-29,2024-12-12,9,21298.4,29.43,Renegociado,Presencial,Commodi dolorum accusantium omnis nesciunt molestiae velit architecto quaerat quidem similique.,2,0,325.0
135.298.640-05,Sr. Benjamin Freitas,Brigadeiro,1,40,Lopes de Correia,6944,Viúvo,0,451,0,32108.96,Veículo,20769.99,36,2.21,35.76,10,3115.17,False,Móveis,2024-10-13,2024-12-04,2024-07-13,2024-11-14,20,97682.96,41.15,Renegociado,Telefone,Possimus nemo et pariatur provident et cupiditate ducimus non alias nihil officia nisi libero.,2,0,451.0
841.720.953-05,Luiz Gustavo Rodrigues,Engenheiro de segurança do trabalho,1,24,Novaes Grande,12826,Viúvo,0,705,1,18012.39,Veículo,38961.6,48,2.1,34.57,0,1716.12,True,Eletrônicos,2023-05-07,2024-11-21,2021-04-15,2024-12-19,2,38398.21,48.39,Atrasado,Online,Quos minus laudantium dolore aperiam iure ipsa blanditiis impedit nobis quibusdam.,3,0,352.5
493.521.678-64,Thomas Cardoso,Ferroviário,0,36,Rodrigues de Oliveira,4383,Solteiro,3,835,0,15670.69,Parcelamento em Loja,43173.56,24,2.37,17.52,0,7776.64,False,Eletrodomésticos,2023-08-03,2024-11-13,2023-07-12,2024-12-23,11,41670.62,21.91,Atrasado,Online,Illum fugit aut dolor enim aliquid laboriosam.,3,0,835.0
401.532.867-17,Vitória Campos,Químico farmacêutico,1,44,Araújo,16913,Divorciado,1,543,0,1355.19,Pessoal,36484.69,6,0.76,27.15,20,403.53,True,Eletrônicos,2023-10-28,2024-11-29,2024-04-19,2024-12-14,20,42988.81,32.31,Em dia,Telefone,Dolorum rerum quis ipsa distinctio porro maiores nihil enim.,1,1,543.0
249.538.670-92,Luiz Gustavo Nogueira,Flanelinha,1,49,Fogaça do Galho,13403,Viúvo,3,784,0,1125.37,Pessoal,14682.94,36,0.64,13.36,10,7195.42,True,Eletrodomésticos,2023-10-23,2024-11-23,2020-12-01,2024-12-28,1,99539.18,22.02,Em dia,Telefone,Tenetur voluptatum ipsum accusamus quae tenetur cumque inventore voluptates optio ad iusto maiores.,1,1,784.0
192.407.835-04,Sophia Silva,Controlador de vôo,1,52,Oliveira,11109,Casado,0,477,0,49377.16,Veículo,8087.08,12,1.42,31.78,40,9267.18,False,Ferramentas,2023-03-23,2024-11-16,2022-11-05,2024-12-25,6,88622.88,40.52,Renegociado,Telefone,Sapiente autem illum sapiente optio omnis occaecati optio ea sed temporibus molestias.,2,0,477.0
045.692.187-76,Dr. Luiz Henrique Rezende,Produtor musical,1,29,Martins,9800,Solteiro,4,476,1,22107.48,Pessoal,23041.56,48,1.45,13.9,10,6466.08,False,Móveis,2023-07-24,2024-11-24,2021-10-10,2024-11-05,14,44989.87,11.05,Em dia,Presencial,Doloremque placeat quibusdam nemo nisi suscipit quod.,1,0,238.0
156.489.702-85,Igor Moura,Marketeiro,0,48,Lopes das Pedras,4078,Solteiro,0,613,0,15929.2,Imobiliário,19435.17,48,2.9,27.14,30,3030.53,False,Eletrônicos,2023-10-26,2024-11-28,2023-12-12,2024-11-06,3,53796.16,41.63,Renegociado,Online,Tempore tempore assumenda ipsam ad saepe magnam nesciunt enim optio adipisci.,2,0,613.0
602.573.148-90,Olivia Rocha,Tecnólogo em negócios imobiliários,0,53,Pires das Pedras,3050,Solteiro,3,667,0,26095.31,Imobiliário,34001.65,36,1.03,6.64,40,5487.8,False,Eletrodomésticos,2023-10-27,2024-11-18,2023-11-10,2024-11-22,5,47996.02,19.02,Renegociado,Online,Voluptas unde tempora esse consequuntur quidem.,2,1,667.0
160.839.452-24,Sra. Lorena Fogaça,Gandula,1,59,Ferreira do Norte,8896,Viúvo,1,327,1,21150.83,Imobiliário,32788.26,6,1.2,35.5,0,7871.89,False,Eletrodomésticos,2023-10-08,2024-12-02,2021-05-20,2024-11-25,8,75890.37,33.7,Renegociado,Presencial,Veniam sunt maxime qui doloremque voluptatem voluptas fugiat ut molestiae aperiam.,2,0,163.5
438.051.792-60,Juliana Azevedo,Profissional de recursos humanos,1,20,Rodrigues de Goiás,6672,Viúvo,4,736,0,6444.35,Imobiliário,34395.38,6,2.84,12.46,30,6017.67,False,Ferramentas,2022-06-30,2024-11-27,2021-07-26,2024-11-07,9,11240.21,31.6,Em dia,Presencial,Ea aliquid labore labore atque sapiente.,1,1,736.0
145.783.206-26,Enzo Gabriel da Paz,Cineasta,0,70,Barbosa da Mata,3487,Divorciado,3,648,0,22754.84,Veículo,11318.88,6,1.65,11.1,10,7631.47,False,Eletrônicos,2022-06-13,2024-12-01,2023-12-26,2024-11-07,3,15517.35,24.52,Renegociado,Presencial,Fugit assumenda nisi at officia assumenda culpa tempora.,2,1,648.0
429.067.318-03,Eduarda Novaes,Tecnólogo em produção moveleira,0,65,Oliveira de das Neves,4093,Divorciado,0,801,0,12679.21,Veículo,17296.54,24,1.42,18.42,0,5952.73,False,Eletrodomésticos,2023-06-26,2024-11-21,2024-05-05,2024-12-31,9,47353.09,45.72,Em dia,Online,Earum cumque perferendis nam magnam iure quibusdam neque voluptatum ut labore odio eaque.,1,1,801.0
681.347.205-44,Henrique Pereira,Desenhista,1,68,Teixeira,17986,Casado,4,831,0,18740.63,Imobiliário,32493.87,24,1.51,31.52,0,5961.75,True,Eletrodomésticos,2023-08-18,2024-11-12,2024-07-08,2024-11-15,1,79459.03,40.63,Em dia,Online,Explicabo quae ea ratione ratione incidunt explicabo aliquid tempore odit debitis eligendi tempora.,1,1,831.0
083.279.651-40,Maria Julia da Cruz,Engenheiro de ergonomia,0,19,Correia,18765,Casado,1,767,0,39784.01,Imobiliário,7639.14,48,2.61,30.29,30,6631.77,False,Ferramentas,2021-12-13,2024-11-17,2023-10-01,2024-12-07,7,42356.5,35.51,Atrasado,Presencial,Nam ex fugiat autem ut neque similique omnis odit delectus odit suscipit unde.,3,0,767.0
148.532.679-64,Dr. Marcos Vinicius Cardoso,Cientista da informação e documentação,1,44,Costela da Prata,18992,Casado,4,756,0,26997.18,Veículo,3895.96,24,2.23,20.97,30,5363.58,False,Eletrônicos,2022-06-09,2024-12-04,2023-01-05,2024-12-15,18,64280.51,41.08,Atrasado,Telefone,Rerum fugiat molestias quam vel inventore eaque maiores corrupti.,3,0,756.0
823.756.194-55,Vitor Gabriel Cardoso,Lubrificador de máquinas,1,69,Aragão,6873,Divorciado,3,346,0,17301.4,Pessoal,8129.57,36,2.68,32.94,30,5798.93,True,Eletrônicos,2023-03-12,2024-11-08,2021-11-10,2024-11-15,8,38156.04,21.24,Atrasado,Presencial,Accusamus natus aut consequuntur voluptatem explicabo quis repudiandae illum molestiae commodi.,3,0,346.0
680.291.354-24,Leonardo Silveira,Prefeito,0,49,Carvalho Alegre,7653,Viúvo,4,578,0,47708.72,Imobiliário,23881.2,48,1.74,26.93,10,9639.82,False,Eletrodomésticos,2023-06-20,2024-11-17,2022-07-31,2024-12-28,9,41964.58,31.36,Em dia,Presencial,Voluptas vero quod eaque id possimus dolorem aliquam ipsa voluptates hic corrupti.,1,1,578.0
798.514.320-32,Sr. Nathan Barbosa,Desenhista,1,64,Vieira de Minas,4824,Divorciado,0,381,0,30404.77,Parcelamento em Loja,28884.58,36,1.1,22.23,20,3669.02,False,Ferramentas,2024-07-14,2024-11-11,2020-11-13,2024-11-17,5,84998.7,37.87,Em dia,Presencial,Ipsum nemo incidunt numquam aperiam error dolor rerum nesciunt quidem quam facere.,1,0,381.0
145.092.768-85,Maitê Mendes,Ferreiro,1,38,Silveira,4616,Casado,0,402,0,29522.77,Parcelamento em Loja,46640.05,6,2.53,25.4,10,4799.55,False,Eletrônicos,2022-06-25,2024-11-23,2023-09-29,2025-01-01,6,50945.3,22.28,Atrasado,Online,Odit cum reprehenderit dignissimos illum doloremque labore illum a delectus dolorum ullam eum.,3,0,402.0
093.748.615-93,Lavínia Rezende,Filósofo,0,70,Moreira,17226,Divorciado,3,623,1,6975.45,Veículo,47788.34,48,1.38,34.91,20,9471.43,True,Eletrodomésticos,2023-07-18,2024-12-01,2023-01-26,2024-12-25,1,61535.47,27.26,Atrasado,Telefone,Atque ex rerum accusantium cumque temporibus eius error corporis commodi atque et.,3,0,311.5
679.180.453-00,Júlia Moura,Bedel,1,55,da Cruz,16250,Casado,2,725,1,21295.04,Parcelamento em Loja,44093.03,36,2.67,14.26,10,1446.86,True,Eletrodomésticos,2023-05-27,2024-11-24,2024-07-26,2024-11-06,18,28274.56,41.05,Em dia,Online,Sit possimus earum ratione impedit sapiente.,1,0,362.5
287.041.653-90,Gabrielly Fogaça,Faturista,1,44,Dias da Mata,7418,Casado,3,546,1,39554.21,Parcelamento em Loja,25011.25,36,2.5,6.9,0,5119.03,False,Eletrodomésticos,2021-11-26,2024-11-05,2022-01-03,2024-11-28,2,29704.81,32.76,Atrasado,Online,Quidem laborum tenetur quibusdam quo consectetur ea modi quidem occaecati molestias vero.,3,0,273.0
785.634.921-28,Alice da Luz,Profissional de cinema,1,34,Moura,18904,Viúvo,3,309,0,8335.62,Pessoal,48181.66,6,0.68,9.87,20,2324.48,True,Ferramentas,2023-09-10,2024-11-08,2023-04-19,2024-12-11,4,26811.87,46.35,Em dia,Telefone,Sint iure mollitia atque aspernatur earum.,1,0,309.0
278.916.340-50,Daniela Ferreira,Segurança particular,1,28,Oliveira do Oeste,17811,Viúvo,0,323,0,12647.14,Parcelamento em Loja,46934.57,48,2.57,7.19,10,3684.3,True,Eletrônicos,2024-08-29,2024-11-14,2024-03-23,2024-12-07,17,5182.58,36.62,Em dia,Presencial,Sed autem dolorem eveniet delectus hic fugiat eaque in optio nulla totam.,1,0,323.0
471.528.693-91,Ana Julia Moraes,Modelo,1,56,Alves,18899,Solteiro,0,517,0,46009.05,Imobiliário,5362.36,12,2.84,21.21,10,2401.16,True,Eletrônicos,2022-07-31,2024-11-17,2023-12-13,2024-12-20,9,12922.35,40.74,Em dia,Telefone,Id nulla ipsam ut fugit est tempora at excepturi ea et optio beatae.,1,0,517.0
812.963.570-40,Gustavo Santos,Podólogo,1,46,Aragão,2505,Viúvo,1,393,0,10810.18,Imobiliário,16265.95,36,2.1,11.45,10,7514.76,True,Móveis,2022-06-27,2024-11-29,2024-02-23,2024-12-23,10,72250.66,31.23,Em dia,Telefone,Consequatur nobis debitis sapiente quos voluptatum doloribus ut suscipit aliquid beatae labore in.,1,0,393.0
168.243.507-53,Maria Cecília Cardoso,Corretor de seguros,1,68,Santos,13623,Divorciado,3,792,0,33505.16,Pessoal,45763.04,36,1.54,14.22,30,93.47,False,Eletrodomésticos,2024-05-14,2024-11-27,2024-06-04,2024-11-30,4,17066.18,28.43,Em dia,Presencial,Dolorem nisi quibusdam nam hic in.,1,1,792.0
690.843.571-75,Enzo Castro,Intérprete e tradutor de língua de sinais,0,34,Rodrigues do Norte,7600,Viúvo,0,691,0,6507.49,Imobiliário,22627.44,36,2.9,14.69,30,9891.18,True,Móveis,2022-08-17,2024-12-01,2021-08-23,2024-12-02,11,84210.56,22.69,Atrasado,Presencial,Illum quae commodi maiores ea fuga animi laborum aliquid.,3,0,691.0
468.957.130-93,Breno Moreira,Massagista,0,59,Gomes,8344,Divorciado,1,632,1,27912.0,Pessoal,25269.07,6,0.5,11.63,10,2842.38,False,Móveis,2022-10-08,2024-12-03,2022-12-10,2025-01-01,11,70312.49,27.09,Renegociado,Online,Omnis nemo rem error voluptas dolorum aliquid ullam voluptatum placeat earum temporibus similique.,2,0,316.0
467.032.598-10,Marcelo da Paz,Boticário,0,27,Araújo de Goiás,6158,Casado,2,520,0,32309.69,Parcelamento em Loja,42265.37,24,1.23,25.61,20,4716.89,True,Móveis,2022-04-01,2024-11-18,2023-03-05,2024-11-16,2,81788.21,19.73,Em dia,Telefone,Ipsa libero amet ratione ea accusamus ratione est incidunt facilis quidem excepturi tempora.,1,1,520.0
720.345.961-61,Sr. Renan Melo,Cientista social,1,61,Azevedo,5621,Divorciado,1,460,0,23242.71,Parcelamento em Loja,47616.25,48,2.22,27.67,40,4880.02,True,Eletrodomésticos,2021-11-30,2024-11-29,2021-11-09,2024-12-15,20,72112.26,15.61,Em dia,Presencial,Iste veritatis quisquam vitae deleniti magni non incidunt doloribus quos ducimus illo fugit.,1,0,460.0
279.083.561-68,Heitor Freitas,Peixeiro,1,29,Costa das Flores,16679,Casado,0,455,1,14838.63,Imobiliário,41537.95,12,2.39,31.77,0,1449.8,False,Móveis,2023-07-05,2024-12-02,2021-02-05,2024-11-05,14,94848.86,47.54,Em dia,Online,Sequi delectus in praesentium amet id ex.,1,0,227.5
596.237.018-02,Thales Cunha,Mecanógrafo,0,56,Costela Paulista,19221,Divorciado,1,403,0,7535.68,Pessoal,11972.21,12,1.13,18.38,10,9434.7,True,Eletrônicos,2023-11-08,2024-11-25,2022-09-03,2024-11-25,5,62440.43,23.94,Em dia,Online,Expedita unde ab ut incidunt sequi blanditiis corrupti debitis quis iste vitae laboriosam.,1,0,403.0
